x,y
0.5,18432.40793789289
1.5,17846.504746170554
2.5,17076.385719448943
3.5,16432.376380032423
4.5,15998.501771030298
5.5,15879.450117161578
6.5,16315.350288328289
7.5,15658.265137092816
8.5,17924.17338773534
9.5,19147.203929058498
10.5,20124.55592161128
11.5,20809.644850221997
12.5,19431.483938205984
13.5,20242.51644821422
14.5,20734.937864076554
15.5,20668.716647573554
16.5,20521.27645416783
17.5,20347.238171361503
18.5,19301.987633742487
19.5,20073.466445977563
20.5,21341.376540053538
21.5,21661.16062195994
22.5,20296.27138538368
23.5,19259.42539779917
