x,y
0.5,560.0925625129569
1.5,533.6431937134198
2.5,510.96360026994256
3.5,494.6260971363451
4.5,487.1091846259489
5.5,482.0476576613065
6.5,501.9284937546976
7.5,581.4126003726913
8.5,639.2081375124769
9.5,683.3696858197471
10.5,721.7717965288887
11.5,723.1694524998705
12.5,679.2717325776968
13.5,639.3432133841836
14.5,648.2124919251422
15.5,663.7485710380856
16.5,671.2352425830038
17.5,691.0067169249851
18.5,672.0632130515186
19.5,669.6264943609098
20.5,708.3865678738134
21.5,761.4499831829203
22.5,716.145277398173
23.5,634.6761734862466
