x,y,p,d,ynorm
3.5,77352.28442610355,gd,gongzuori,0.03437634743536652
4.5,75046.03947365735,gd,gongzuori,0.03335142259514297
5.5,73573.03212237051,gd,gongzuori,0.032696799233229726
6.5,73580.40552523868,gd,gongzuori,0.03270007606804666
7.5,76847.18810840862,gd,gongzuori,0.03415187615266003
8.5,94606.60248437713,gd,gongzuori,0.0420443877102232
9.5,102506.45780021398,gd,gongzuori,0.04555518474797288
10.5,106676.42075785338,gd,gongzuori,0.04740836977654646
11.5,106795.98837717697,gd,gongzuori,0.04746150716032747
12.5,96096.46495488488,gd,gongzuori,0.04270650170332726
13.5,102862.373526505,gd,gongzuori,0.045713358262245485
14.5,108224.82169995201,gd,gongzuori,0.048096499017327723
15.5,108982.25786811784,gd,gongzuori,0.04843311336647285
16.5,108982.25782672559,gd,gongzuori,0.0484331133480776
17.5,103402.97368601829,gd,gongzuori,0.045953607907681576
18.5,96749.58546683325,gd,gongzuori,0.042996756836740285
19.5,99474.21182234075,gd,gongzuori,0.04420761573927161
20.5,98714.46479645303,gd,gongzuori,0.04386997441531235
21.5,97981.31255020038,gd,gongzuori,0.04354415215256745
22.5,97285.49887902656,gd,gongzuori,0.043234923631548135
23.5,93173.15607861936,gd,gongzuori,0.04140734573997109
0.5,56264.23478770415,gd,jiejiari,0.0463092461476987
1.5,53243.527699527425,gd,jiejiari,0.04382300122471532
2.5,50819.98728554751,gd,jiejiari,0.04182826460378081
3.5,48791.85053292379,gd,jiejiari,0.040158971766993276
4.5,47257.128972555634,gd,jiejiari,0.038895792790589585
5.5,46222.22490357945,gd,jiejiari,0.03804399719698904
6.5,46048.19343460856,gd,jiejiari,0.0379007576032324
7.5,45455.64715234627,gd,jiejiari,0.03741305219423278
8.5,45198.25292250757,gd,jiejiari,0.03720119944636243
9.5,47659.93840894985,gd,jiejiari,0.039227332025255794
10.5,49918.57317016063,gd,jiejiari,0.04108634021241622
11.5,51886.08779064554,gd,jiejiari,0.042705736960688426
12.5,49743.88783085332,gd,jiejiari,0.04094256243943309
13.5,49570.03153738268,gd,jiejiari,0.040799467026884834
14.5,49827.52035675141,gd,jiejiari,0.04101139762829475
15.5,50048.518158769504,gd,jiejiari,0.04119329367025412
16.5,51295.27790216123,gd,jiejiari,0.04221946072045253
17.5,53947.961576651265,gd,jiejiari,0.044402797643054506
18.5,56321.77885965495,gd,jiejiari,0.04635660878583579
19.5,55382.92940269506,gd,jiejiari,0.04558387259272773
20.5,54633.84996034978,gd,jiejiari,0.044967329874060394
21.5,53951.72541257825,gd,jiejiari,0.04440589553294957
22.5,52272.52453443643,gd,jiejiari,0.04302380036910856
23.5,49205.97197681595,gd,jiejiari,0.040499821543989324
0.5,11115.104972619552,gs,gongzuori,0.03894010955729562
1.5,11070.195947964192,gs,gongzuori,0.038782777499298975
2.5,10923.809220354558,gs,gongzuori,0.03826993347084445
3.5,10947.812656744249,gs,gongzuori,0.038354025923868384
4.5,10757.929016237746,gs,gongzuori,0.03768879695997865
5.5,10853.420955691588,gs,gongzuori,0.03802333870234916
6.5,11508.651752298318,gs,gongzuori,0.0403188418998477
7.5,12014.560377411704,gs,gongzuori,0.04209121717983152
8.5,11384.39130512491,gs,gongzuori,0.039883513989001106
9.5,11976.71713374889,gs,gongzuori,0.041958639029839824
10.5,12133.28597342228,gs,gongzuori,0.04250715456659445
11.5,12505.431691580001,gs,gongzuori,0.04381091148765255
12.5,12482.210649195998,gs,gongzuori,0.0437295600351296
13.5,12001.93108889404,gs,gongzuori,0.0420469723544592
14.5,12215.21139104933,gs,gongzuori,0.04279416802672668
15.5,12054.403567038858,gs,gongzuori,0.04223080184169619
16.5,12508.787030348398,gs,gongzuori,0.04382266641570452
17.5,12839.515278710282,gs,gongzuori,0.04498132341954108
18.5,12928.023926008915,gs,gongzuori,0.045291400241223544
19.5,12510.635692387754,gs,gongzuori,0.04382914292694974
20.5,12622.824127413574,gs,gongzuori,0.044222178346923595
21.5,12222.52860294739,gs,gongzuori,0.04281980278534266
22.5,12114.465260478188,gs,gongzuori,0.042441219010808454
23.5,11749.182183876985,gs,gongzuori,0.04116150432909235
0.5,11016.080234214834,gs,jiejiari,0.03976803769521925
1.5,10965.489239464452,gs,jiejiari,0.03958540425905172
2.5,10795.057995026798,gs,jiejiari,0.038970147651516414
3.5,10776.241024708841,gs,jiejiari,0.03890221840908133
4.5,10807.312335663168,gs,jiejiari,0.03901438580792014
5.5,11061.464064653486,gs,jiejiari,0.03993187327387018
6.5,10936.093052934391,gs,jiejiari,0.03947928405756732
7.5,11598.056951999908,gs,jiejiari,0.04186897301509225
8.5,11557.172453470064,gs,jiejiari,0.04172138001975121
9.5,11765.224457482294,gs,jiejiari,0.042472447528539556
10.5,11676.248527931453,gs,jiejiari,0.042151244519382534
11.5,11968.136666299302,gs,jiejiari,0.04320496038224882
12.5,11978.187405354429,gs,jiejiari,0.04324124353933474
13.5,11753.701096830422,gs,jiejiari,0.042430848209086894
14.5,11874.426019859595,gs,jiejiari,0.04286666505025924
15.5,11430.719099274971,gs,jiejiari,0.04126488354828413
16.5,11477.40548524175,gs,jiejiari,0.041433421350978585
17.5,12082.910691548253,gs,jiejiari,0.04361929448889013
18.5,12314.40284624219,gs,jiejiari,0.04445498091621145
19.5,12339.46815408458,gs,jiejiari,0.04454546665033151
20.5,12098.486950505521,gs,jiejiari,0.04367552476682866
21.5,11689.311484810993,gs,jiejiari,0.04219840177954691
22.5,11639.928929816379,gs,jiejiari,0.04202013080958678
23.5,11406.868322893466,gs,jiejiari,0.04117878227142033
0.5,15822.083588054114,gx,gongzuori,0.03777941321423746
1.5,14949.660873676341,gx,gongzuori,0.03569627302346957
2.5,14333.92715455175,gx,gongzuori,0.034226045763242584
3.5,13896.161949040265,gx,gongzuori,0.03318076544363153
4.5,13496.715731942128,gx,gongzuori,0.03222698185320679
5.5,13593.859867060331,gx,gongzuori,0.03245893919318326
6.5,14435.559011082167,gx,gongzuori,0.03446871872614436
7.5,14855.824418718696,gx,gongzuori,0.03547221364553273
8.5,16671.412022915156,gx,gongzuori,0.039807409698811906
9.5,18078.036138467654,gx,gongzuori,0.043166097156302756
10.5,19047.589884338955,gx,gongzuori,0.04548116339867422
11.5,19391.037699028948,gx,gongzuori,0.04630123597865329
12.5,18301.092459135343,gx,gongzuori,0.04369870317254922
13.5,18835.227405917507,gx,gongzuori,0.04497409176181718
14.5,19512.863197508344,gx,gongzuori,0.04659212660765733
15.5,19785.453339065214,gx,gongzuori,0.04724300773457666
16.5,19859.920760604018,gx,gongzuori,0.04742081841757908
17.5,19815.325252278693,gx,gongzuori,0.047314334835493
18.5,18725.883034579576,gx,gongzuori,0.04471300312804548
19.5,18887.39554899667,gx,gongzuori,0.04509865701411399
20.5,19790.167904231206,gx,gongzuori,0.04725426500701744
21.5,19784.741687618112,gx,gongzuori,0.047241308478348176
22.5,19118.972290289556,gx,gongzuori,0.04565160779025045
23.5,17812.81813363156,gx,gongzuori,0.04253281895746152
0.5,12895.1888513351,gx,jiejiari,0.0381990017154786
1.5,12332.108541708685,gx,jiejiari,0.03653100708885127
2.5,11863.262980139589,gx,jiejiari,0.03514216101477317
3.5,11465.89756201953,gx,jiejiari,0.033965058262465014
4.5,11370.939825450203,gx,jiejiari,0.0336837680243826
5.5,11658.55367026317,gx,jiejiari,0.03453575723354168
6.5,12420.449762837212,gx,jiejiari,0.036792697436805084
7.5,13495.86929831835,gx,jiejiari,0.03997837801537606
8.5,13732.100806159731,gx,jiejiari,0.04067815898619517
9.5,14264.422712265085,gx,jiejiari,0.04225503898686301
10.5,14836.351754918394,gx,jiejiari,0.043949245929724795
11.5,15041.172001567458,gx,jiejiari,0.04455597833537718
12.5,14267.700050635098,gx,jiejiari,0.04226474734053364
13.5,14122.94234892874,gx,jiejiari,0.04183593627312245
14.5,14435.626047082887,gx,jiejiari,0.042762189099652854
15.5,14827.771651386945,gx,jiejiari,0.04392382936597414
16.5,15179.269564383743,gx,jiejiari,0.04496506028832404
17.5,16179.790309822998,gx,jiejiari,0.047928870598666955
18.5,16260.688763138309,gx,jiejiari,0.04816851347575837
19.5,16818.555667590797,gx,jiejiari,0.049821064600512395
20.5,16225.429279674734,gx,jiejiari,0.048064065445966815
21.5,15637.264900323591,gx,jiejiari,0.04632176508923404
22.5,14840.33519442574,gx,jiejiari,0.04396104594400368
23.5,13407.51922619874,gx,jiejiari,0.03971666144841704
0.5,10821.23084595022,gz,gongzuori,0.034215701056372214
1.5,10264.037046103706,gz,gongzuori,0.03245390734201418
2.5,9986.870156817815,gz,gongzuori,0.03157753204224134
3.5,9744.64568818087,gz,gongzuori,0.03081164134779026
4.5,9885.42275957066,gz,gongzuori,0.03125676503647557
5.5,9971.2020821789,gz,gongzuori,0.03152799108284349
6.5,10933.904530875589,gz,gongzuori,0.034571964514310466
7.5,12506.311518620576,gz,gongzuori,0.03954376561508524
8.5,14038.274281846883,gz,gongzuori,0.04438768593082844
9.5,15042.865746174733,gz,gongzuori,0.04756410843918744
10.5,15554.22704514481,gz,gongzuori,0.04918098415198182
11.5,15696.22010607882,gz,gongzuori,0.04962995268376538
12.5,14369.609769122875,gz,gongzuori,0.04543533717710469
13.5,14080.203577954955,gz,gongzuori,0.04452026237075115
14.5,14108.405869937787,gz,gongzuori,0.04460943533132525
15.5,13937.255570233378,gz,gongzuori,0.04406827438819777
16.5,14534.747301782625,gz,gongzuori,0.04595748632363986
17.5,15354.535764747423,gz,gongzuori,0.04854957934684376
18.5,15101.577739556757,gz,gongzuori,0.047749750169096085
19.5,15044.137121525466,gz,gongzuori,0.04756812840692959
20.5,15191.642925231377,gz,gongzuori,0.048034527706189545
21.5,14532.446150492522,gz,gongzuori,0.04595021030247844
22.5,13428.27098153937,gz,gongzuori,0.04245891360688034
23.5,12137.018296631184,gz,gongzuori,0.038376095627667646
0.5,10035.820109546776,gz,jiejiari,0.03524174108368496
1.5,9602.123303260214,gz,jiejiari,0.03371877331531766
2.5,9234.00802064287,gz,jiejiari,0.032426101332625676
3.5,9051.461503718867,gz,jiejiari,0.031785071798921254
4.5,8963.892945939311,gz,jiejiari,0.0314775664424429
5.5,9054.076490398154,gz,jiejiari,0.03179425457446753
6.5,9616.315956450277,gz,jiejiari,0.03376861217288536
7.5,11289.782523185728,gz,jiejiari,0.03964514989609465
8.5,12576.417297484624,gz,jiejiari,0.04416329082430573
9.5,13393.143914547929,gz,jiejiari,0.04703130436585164
10.5,13744.890790776732,gz,jiejiari,0.048266497125759554
11.5,13551.399346875802,gz,jiejiari,0.0475870334353554
12.5,12542.67527202582,gz,jiejiari,0.04404480247837303
13.5,12338.843533860982,gz,jiejiari,0.04332902785680431
14.5,12294.703429899751,gz,jiejiari,0.04317402566483308
15.5,12418.290114889713,gz,jiejiari,0.043608012115991565
16.5,12849.181589254948,gz,jiejiari,0.04512112869331059
17.5,13669.713291604194,gz,jiejiari,0.04800250415535575
18.5,14123.022167080617,gz,jiejiari,0.049594341578316284
19.5,14478.9186178046,gz,jiejiari,0.05084410596549236
20.5,13609.331904620165,gz,jiejiari,0.04779046914644395
21.5,13143.894298363748,gz,jiejiari,0.04615604052663487
22.5,12130.785127730189,gz,jiejiari,0.04259841088687969
23.5,11058.14555810648,gz,jiejiari,0.0388317345638521
0.5,48952.848375095135,ha,gongzuori,0.0407910244591933
1.5,47454.1316780414,ha,gongzuori,0.03954218621022182
2.5,45822.2976803723,ha,gongzuori,0.03818242507840322
3.5,44206.71474889115,ha,gongzuori,0.03683620550055675
4.5,43290.80584836899,ha,gongzuori,0.036073004510140026
5.5,42797.42591601029,ha,gongzuori,0.035661884962319035
6.5,44730.117340423596,ha,gongzuori,0.037272342081407214
7.5,44863.16498873689,ha,gongzuori,0.03738320692496036
8.5,45768.16220587909,ha,gongzuori,0.038137315518133263
9.5,47901.995403792556,ha,gongzuori,0.039915378390000984
10.5,50536.78758824607,ha,gongzuori,0.04211087622124901
11.5,54228.35360292118,ha,gongzuori,0.04518695380602033
12.5,55626.828994050324,ha,gongzuori,0.046352263808985356
13.5,55812.430923482934,ha,gongzuori,0.04650692064907662
14.5,54922.61244855965,ha,gongzuori,0.04576546007263132
15.5,54783.66365820146,ha,gongzuori,0.04564967797426092
16.5,53816.887829456326,ha,gongzuori,0.04484409101076642
17.5,53416.002859970926,ha,gongzuori,0.04451004490030717
18.5,51574.160645334465,ha,gongzuori,0.04297528985905744
19.5,51286.0093342383,ha,gongzuori,0.04273518151870493
20.5,53595.7251588385,ha,gongzuori,0.044659802410489134
21.5,53824.70805062605,ha,gongzuori,0.04485060737995839
22.5,52428.261943137244,ha,gongzuori,0.043686988321674926
23.5,48448.62386514173,ha,gongzuori,0.040370868431481986
0.5,29787.98812704596,ha,jiejiari,0.03852764797029561
1.5,30309.68324501844,ha,jiejiari,0.039202406056250944
2.5,29857.941040280384,ha,jiejiari,0.0386181247491938
3.5,29562.09031052549,ha,jiejiari,0.03823547276480543
4.5,28920.616261088006,ha,jiejiari,0.03740579315524603
5.5,29392.59575422365,ha,jiejiari,0.0380162492788074
6.5,32398.402458394605,ha,jiejiari,0.041903945959467295
7.5,33471.867881956074,ha,jiejiari,0.0432923612418579
8.5,31453.328405997916,ha,jiejiari,0.04068159149090416
9.5,31628.79639659297,ha,jiejiari,0.04090854098957015
10.5,32437.734161912736,ha,jiejiari,0.04195481740539227
11.5,33898.19771922999,ha,jiejiari,0.04384377430875145
12.5,32944.498232642676,ha,jiejiari,0.04261026374294972
13.5,32554.32295214925,ha,jiejiari,0.04210561281488273
14.5,32809.76092688765,ha,jiejiari,0.04243599512626921
15.5,33004.538341503685,ha,jiejiari,0.042687919345887025
16.5,32783.07320780692,ha,jiejiari,0.04240147735214203
17.5,34729.89722326208,ha,jiejiari,0.04491949065359999
18.5,35545.243529648214,ha,jiejiari,0.045974055847205805
19.5,35393.121518956155,ha,jiejiari,0.04577730193245734
20.5,34547.622683636706,ha,jiejiari,0.0446837375954652
21.5,33282.556635170535,ha,jiejiari,0.043047506938778984
22.5,31868.89668379691,ha,jiejiari,0.04121908560586
23.5,30575.975832277156,ha,jiejiari,0.03954682767395959
0.5,29402.50867802588,hb,gongzuori,0.04006781237523235
1.5,29079.360113821436,hb,gongzuori,0.03962744668461542
2.5,28309.46718409057,hb,gongzuori,0.038578287043331855
3.5,27317.754100845203,hb,gongzuori,0.037226845430486245
4.5,26519.190980056304,hb,gongzuori,0.03613861593129856
5.5,26103.758739703473,hb,gongzuori,0.035572492093249336
6.5,26327.07290529191,hb,gongzuori,0.03587681000657814
7.5,26341.427697975483,hb,gongzuori,0.035896371777521884
8.5,28832.22162613316,hb,gongzuori,0.03929066254609757
9.5,30647.591453110334,hb,gongzuori,0.0417645296033443
10.5,31667.232532694565,hb,gongzuori,0.04315402965975933
11.5,32505.973735608794,hb,gongzuori,0.044297011216801095
12.5,33179.75083994697,hb,gongzuori,0.04521519050874449
13.5,33992.15363717565,hb,gongzuori,0.046322279812209266
14.5,34085.94071458865,hb,gongzuori,0.046450086696382176
15.5,33983.55867381205,hb,gongzuori,0.046310567159279004
16.5,33594.00968167326,hb,gongzuori,0.0457797153160265
17.5,32244.68321175954,hb,gongzuori,0.0439409416106439
18.5,30171.302065091655,hb,gongzuori,0.04111547363181391
19.5,30178.562492858255,hb,gongzuori,0.041125367667071304
20.5,33048.986587538086,hb,gongzuori,0.0450369935532302
21.5,33347.65353350185,hb,gongzuori,0.04544399729854338
22.5,32741.172015144257,hb,gongzuori,0.044617524021970244
23.5,30197.334079746848,hb,gongzuori,0.04115094835576946
0.5,16390.923154333672,hb,jiejiari,0.039012067237721416
1.5,15614.408356187938,hb,jiejiari,0.03716388289623497
2.5,15334.027015415357,hb,jiejiari,0.03649654673612795
3.5,15222.444493385507,hb,jiejiari,0.0362309689641504
4.5,15302.309182489253,hb,jiejiari,0.03642105506191917
5.5,15776.381658638524,hb,jiejiari,0.037549395860112626
6.5,16532.146624385816,hb,jiejiari,0.03934819348621535
7.5,17369.499623142277,hb,jiejiari,0.04134117894417949
8.5,17968.982681660556,hb,jiejiari,0.04276800970694874
9.5,18429.337627723657,hb,jiejiari,0.04386370138580838
10.5,18475.255063721626,hb,jiejiari,0.04397298956217708
11.5,18429.082991754196,hb,jiejiari,0.043863095326255284
12.5,17886.75810623339,hb,jiejiari,0.04257230683927288
13.5,17753.680207230555,hb,jiejiari,0.04225556787985797
14.5,18077.32246677981,hb,jiejiari,0.043025869434664875
15.5,18172.473613171143,hb,jiejiari,0.04325233885837049
16.5,18868.436007432352,hb,jiejiari,0.044908800270836165
17.5,19662.740001433373,hb,jiejiari,0.046799324711063656
18.5,19208.082207027794,hb,jiejiari,0.04571719283365228
19.5,19108.253728279215,hb,jiejiari,0.04547959088234613
20.5,18622.577294277573,hb,jiejiari,0.04432363148209482
21.5,18087.564948982992,hb,jiejiari,0.04305024758595198
22.5,17536.851331204587,hb,jiejiari,0.04173949306143824
23.5,16320.541190615593,hb,jiejiari,0.0388445509925997
0.5,23054.94187478104,he,gongzuori,0.036052963226803084
1.5,22096.667844091073,he,gongzuori,0.034554429048000525
2.5,21573.73022352825,he,gongzuori,0.0337366672463676
3.5,21096.467841533737,he,gongzuori,0.03299033167974418
4.5,20795.833351004625,he,gongzuori,0.03252020409102053
5.5,20976.976295111963,he,gongzuori,0.032803472638743066
6.5,22869.979266561742,he,gongzuori,0.03576372154713707
7.5,23463.195882891185,he,gongzuori,0.036691384560568856
8.5,25387.290283679926,he,gongzuori,0.039700253767583196
9.5,27378.114684897417,he,gongzuori,0.042813474322115526
10.5,28920.288977339504,he,gongzuori,0.04522510274246537
11.5,31269.936111507104,he,gongzuori,0.048899444763547226
12.5,29677.881281370006,he,gongzuori,0.046409813926144294
13.5,29526.240239060407,he,gongzuori,0.046172679998340196
14.5,29970.28568949742,he,gongzuori,0.046867071438691066
15.5,30069.118862335425,he,gongzuori,0.04702162523306929
16.5,29929.431261810256,he,gongzuori,0.046803183913532366
17.5,29796.085938790024,he,gongzuori,0.046594660549933116
18.5,29846.297871852028,he,gongzuori,0.04667318119796005
19.5,29280.07203560614,he,gongzuori,0.045787725950962914
20.5,29439.83155841603,he,gongzuori,0.04603755543360833
21.5,29110.298215537023,he,gongzuori,0.045522236264410244
22.5,28233.527839254202,he,gongzuori,0.04415115624581119
23.5,25711.763643679322,he,gongzuori,0.040207660213440764
0.5,18627.314216282386,he,jiejiari,0.03701219025302495
1.5,17961.944715643018,he,jiejiari,0.03569011116742613
2.5,17606.502981804995,he,jiejiari,0.03498385384423252
3.5,17246.229378070457,he,jiejiari,0.03426799566898846
4.5,17292.27929943786,he,jiejiari,0.03435949616288668
5.5,17590.627325504774,he,jiejiari,0.03495230915643948
6.5,20456.24290040746,he,jiejiari,0.04064624375263687
7.5,21675.952511836265,he,jiejiari,0.04306978821360832
8.5,21547.01749023497,he,jiejiari,0.04281359628521891
9.5,22041.344006145224,he,jiejiari,0.04379581555964294
10.5,22424.613240895327,he,jiejiari,0.044557365704231265
11.5,23390.21852144008,he,jiejiari,0.04647600872157018
12.5,20459.642547648575,he,jiejiari,0.040652998800037705
13.5,20588.69712625106,he,jiejiari,0.04090942828637148
14.5,21496.85433742183,he,jiejiari,0.0427139228629502
15.5,22432.64639879552,he,jiejiari,0.044573327466892396
16.5,23023.02943685132,he,jiejiari,0.04574640959096907
17.5,24092.072173830722,he,jiejiari,0.04787058126221889
18.5,24958.936463669987,he,jiejiari,0.04959302743167464
19.5,22603.47487416993,he,jiejiari,0.04491276105123946
20.5,22448.352175394262,he,jiejiari,0.04460453460630039
21.5,22366.2645868087,he,jiejiari,0.04444142781533398
22.5,21346.597757184445,he,jiejiari,0.042415365321592256
23.5,19598.258110457882,he,jiejiari,0.03894144101451281
0.5,3633.0099611572814,hi,gongzuori,0.04387372110285008
1.5,3423.770675619,hi,gongzuori,0.041346861513799606
2.5,3254.1062503540657,hi,gongzuori,0.03929792419880863
3.5,3129.797498980204,hi,gongzuori,0.037796720638474036
4.5,3059.1430564033412,hi,gongzuori,0.036943468557847435
5.5,3040.502062344361,hi,gongzuori,0.03671835225396506
6.5,3107.235758527681,hi,gongzuori,0.03752425579009978
7.5,3185.1247069429883,hi,gongzuori,0.038464874735906054
8.5,3421.328250903452,hi,gongzuori,0.04131736578933687
9.5,3733.514445614528,hi,gongzuori,0.04508745455467313
10.5,3847.3966967365864,hi,gongzuori,0.046462743413694683
11.5,3658.7655926793464,hi,gongzuori,0.04418475669215711
12.5,3465.8805131130634,hi,gongzuori,0.04185539721440428
13.5,3399.006535730227,hi,gongzuori,0.04104779958486234
14.5,3374.4038812264826,hi,gongzuori,0.04075068781978939
15.5,3412.1658622118644,hi,gongzuori,0.041206717018651265
16.5,3556.15724621547,hi,gongzuori,0.04294561613826039
17.5,3719.2557845848974,hi,gongzuori,0.04491526110516362
18.5,3594.9100584641574,hi,gongzuori,0.043413611022592724
19.5,3770.431824829292,hi,gongzuori,0.04553328399550428
20.5,3770.2164247464734,hi,gongzuori,0.04553068273559578
21.5,3631.1699033697487,hi,gongzuori,0.04385149980892398
22.5,3402.171588981192,hi,gongzuori,0.041086022068448455
23.5,3216.5949437013837,hi,gongzuori,0.03884492224619108
0.5,2840.1588540103016,hi,jiejiari,0.03940561382761293
1.5,2667.2721081720674,hi,jiejiari,0.03700690703246498
2.5,2565.667334899759,hi,jiejiari,0.03559719769421533
3.5,2464.824102427781,hi,jiejiari,0.034198054308165644
4.5,2389.9437145783863,hi,jiejiari,0.03315913085404661
5.5,2447.835521478632,hi,jiejiari,0.03396234725980247
6.5,2591.7057227173464,hi,jiejiari,0.03595846574567825
7.5,2750.5210154988517,hi,jiejiari,0.0381619390086018
8.5,2862.6072596799404,hi,jiejiari,0.039717072886888555
9.5,3111.452053674956,hi,jiejiari,0.04316965506951316
