x,y,p,d,ynorm
0.5,13931.104185870825,cq,gongzuori,0.04099327315704043
1.5,13075.207297884206,cq,gongzuori,0.038474735182205594
2.5,12435.90142367908,cq,gongzuori,0.03659353179857351
3.5,11895.0812940556,cq,gongzuori,0.0350021297814264
4.5,11532.283276947092,cq,gongzuori,0.03393457059747848
5.5,11273.66828669963,cq,gongzuori,0.03317357744171186
6.5,11275.795348728969,cq,gongzuori,0.03317983647427864
7.5,11591.472823705803,cq,gongzuori,0.03410874008368347
8.5,13172.040131351014,cq,gongzuori,0.038759672739194145
9.5,14556.085018607304,cq,gongzuori,0.0428323240788091
10.5,15366.506988888937,cq,gongzuori,0.045217048846994824
11.5,15601.467988913355,cq,gongzuori,0.045908438440148615
12.5,15148.085894989139,cq,gongzuori,0.044574329113796995
13.5,15569.351104631034,cq,gongzuori,0.04581393220483716
14.5,16011.138312440147,cq,gongzuori,0.047113922747250375
15.5,16159.634203383772,cq,gongzuori,0.04755088255595843
16.5,16256.798746500484,cq,gongzuori,0.04783679619238088
17.5,16052.57677364208,cq,gongzuori,0.04723585839115871
18.5,15036.195746842319,cq,gongzuori,0.044245084328504505
19.5,14604.444287189091,cq,gongzuori,0.04297462469476878
20.5,15398.440913286688,cq,gongzuori,0.04531101670972468
21.5,15500.86309780117,cq,gongzuori,0.04561240133301974
22.5,14597.681600503089,cq,gongzuori,0.04295472500419896
23.5,13796.961302633465,cq,gongzuori,0.040598548102855625
0.5,5947.842764975131,cq,jiejiari,0.035169143696612344
1.5,5715.517487849713,cq,jiejiari,0.03379542193253116
2.5,5578.836630122605,cq,jiejiari,0.03298723837490799
3.5,5450.456975175483,cq,jiejiari,0.03222813920047383
4.5,5373.8391402037605,cq,jiejiari,0.03177510374639098
5.5,5500.309986319968,cq,jiejiari,0.03252291627880779
6.5,6013.656058648439,cq,jiejiari,0.03555829271648453
7.5,6733.880909481046,cq,jiejiari,0.03981692769956802
8.5,7126.9543025722305,cq,jiejiari,0.04214114089604728
9.5,7602.548882533305,cq,jiejiari,0.044953295619180905
10.5,7903.463858290416,cq,jiejiari,0.04673258307532951
11.5,8294.045795264008,cq,jiejiari,0.049042064480523125
12.5,7606.055333446166,cq,jiejiari,0.044974028997801084
13.5,7484.034131619717,cq,jiejiari,0.04425252687499141
14.5,7482.850995578885,cq,jiejiari,0.044245531081209225
15.5,7521.193530750615,cq,jiejiari,0.04447224758708051
16.5,7849.8335889834825,cq,jiejiari,0.046415471355623274
17.5,8247.966156720111,cq,jiejiari,0.048769599068528485
18.5,8218.661279813527,cq,jiejiari,0.048596321551340534
19.5,8285.944106347455,cq,jiejiari,0.04899415980769462
20.5,8044.284534378104,cq,jiejiari,0.04756524506531113
21.5,7654.096526494601,cq,jiejiari,0.04525809293298552
22.5,6878.513929148678,cq,jiejiari,0.0406721317883377
23.5,6606.270357420416,cq,jiejiari,0.03906237617223909
0.5,29057.01339668835,fj,gongzuori,0.039069958811616075
1.5,28627.868579815233,fj,gongzuori,0.038492932188454516
2.5,27607.173716687867,fj,gongzuori,0.037120509437458385
3.5,26857.980917605397,fj,gongzuori,0.03611314741430402
4.5,26150.32314238112,fj,gongzuori,0.03516163323928274
5.5,26156.658929299476,fj,gongzuori,0.03517015231626288
6.5,26538.61279313827,fj,gongzuori,0.03568372614865888
7.5,26949.033424320947,fj,gongzuori,0.03623557629708371
8.5,29572.70894188951,fj,gongzuori,0.03976336124204753
9.5,31965.809701861283,fj,gongzuori,0.04298111617259385
10.5,33907.07583357094,fj,gongzuori,0.045591335838766615
11.5,34470.30582547412,fj,gongzuori,0.04634865292035051
12.5,32663.870901329123,fj,gongzuori,0.043919726825342634
13.5,33295.31141565657,fj,gongzuori,0.04476875953734086
14.5,33674.60424671228,fj,gongzuori,0.04527875535434305
15.5,33674.87676448119,fj,gongzuori,0.04527912178078411
16.5,33741.37702061553,fj,gongzuori,0.0453685377931134
17.5,33489.64470034095,fj,gongzuori,0.04503005939375383
18.5,32477.192126868787,fj,gongzuori,0.04366871919666461
19.5,32537.53678113679,fj,gongzuori,0.0437498584082059
20.5,32790.168705327815,fj,gongzuori,0.04408954641185212
21.5,33106.030346809195,fj,gongzuori,0.044514252872711366
22.5,32860.21034728784,fj,gongzuori,0.044183724159204095
23.5,31546.144822110407,fj,gongzuori,0.042416836239804294
0.5,20947.253139349665,fj,jiejiari,0.0376427084121901
1.5,20276.13756877443,fj,jiejiari,0.036436697888233234
2.5,19818.333639022818,fj,jiejiari,0.035614013418677544
3.5,19294.624593684443,fj,jiejiari,0.03467289590053068
4.5,19286.050540271877,fj,jiejiari,0.03465748812413285
5.5,19662.600849642535,fj,jiejiari,0.03533415791963616
6.5,21020.7329153963,fj,jiejiari,0.037774753304449536
7.5,21474.329993262043,fj,jiejiari,0.03858987796185136
8.5,22593.889155427772,fj,jiejiari,0.040601752206710404
9.5,23916.903371274588,fj,jiejiari,0.042979239986182104
10.5,25516.345248803977,fj,jiejiari,0.045853474799575585
11.5,25708.973435730542,fj,jiejiari,0.04619963219903071
12.5,23630.959683988243,fj,jiejiari,0.04246539242959691
13.5,23626.41728794377,fj,jiejiari,0.04245722963666853
14.5,24079.88738069304,fj,jiejiari,0.0432721260988182
15.5,24494.918881662863,fj,jiejiari,0.04401794750408555
16.5,25076.253714606482,fj,jiejiari,0.04506261992298321
17.5,25976.876983819122,fj,jiejiari,0.04668106119958761
18.5,26247.169053512873,fj,jiejiari,0.047166782429857
19.5,25821.340372401464,fj,jiejiari,0.04640155823697641
20.5,25509.211296423367,fj,jiejiari,0.045840654918729955
21.5,25389.328211812903,fj,jiejiari,0.04562522218549638
22.5,24253.660609997423,fj,jiejiari,0.0435844006943002
23.5,22853.51869670748,fj,jiejiari,0.04106831262169979
0.5,87014.73405161258,gd,gongzuori,0.03867046399401251
1.5,84029.04060764411,gd,gongzuori,0.037343583528531135
2.5,80202.4992796148,gd,gongzuori,0.03564301947739713
