x,y
0.5,10821.23084595022
1.5,10264.037046103706
2.5,9986.870156817815
3.5,9744.64568818087
4.5,9885.42275957066
5.5,9971.2020821789
6.5,10933.904530875589
7.5,12506.311518620576
8.5,14038.274281846883
9.5,15042.865746174733
10.5,15554.22704514481
11.5,15696.22010607882
12.5,14369.609769122875
13.5,14080.203577954955
14.5,14108.405869937787
15.5,13937.255570233378
16.5,14534.747301782625
17.5,15354.535764747423
18.5,15101.577739556757
19.5,15044.137121525466
20.5,15191.642925231377
21.5,14532.446150492522
22.5,13428.27098153937
23.5,12137.018296631184
