x,variable,value,p,d,ynorm
1.5,zd,34406.17572135618,ha,quannianri,0.018789645821719072
2.5,zd,31694.586643592407,ha,quannianri,0.017308812880625937
3.5,zd,26154.643104546936,ha,quannianri,0.014283379952130672
4.5,zd,29574.967590427746,ha,quannianri,0.016151262224357834
5.5,zd,28901.63375400018,ha,quannianri,0.015783546137318253
6.5,zd,30510.2519736261,ha,quannianri,0.016662032803605148
7.5,zd,30430.993434907672,ha,quannianri,0.016618748717546674
8.5,zd,31112.407320871283,ha,quannianri,0.01699087742138603
9.5,zd,30300.74120516229,ha,quannianri,0.016547616334679553
10.5,zd,30479.023951294414,ha,quannianri,0.016644978787370476
11.5,zd,36459.26556167054,ha,quannianri,0.01991086403707951
12.5,zd,34840.94975201733,ha,quannianri,0.019027081394761666
13.5,zd,47171.38008014312,ha,quannianri,0.025760884668080953
14.5,zd,45435.10706170892,ha,quannianri,0.024812684108669877
15.5,zd,35935.87917404412,ha,quannianri,0.019625036140045748
16.5,zd,32538.901144622334,ha,quannianri,0.017769903661681463
17.5,zd,29728.284791834838,ha,quannianri,0.016234990678695417
18.5,zd,30429.311523187767,ha,quannianri,0.016617830204376936
19.5,zd,30342.14270437833,ha,quannianri,0.016570226214750437
20.5,zd,31748.592557406242,ha,quannianri,0.017338306190229955
21.5,zd,30888.75276965462,ha,quannianri,0.016868736854593305
22.5,zd,35149.28432306503,ha,quannianri,0.01919546678671855
23.5,zd,31401.400237501668,ha,quannianri,0.017148700092305545
0.5,zg,28637.381106288252,hb,quannianri,0.027180167343418705
1.5,zg,29692.250657243792,hb,quannianri,0.028181359834241575
