x,y,p,d
13.5,49570.03153738268,gd,jiejiari
14.5,49827.52035675141,gd,jiejiari
15.5,50048.518158769504,gd,jiejiari
16.5,51295.27790216123,gd,jiejiari
17.5,53947.961576651265,gd,jiejiari
18.5,56321.77885965495,gd,jiejiari
19.5,55382.92940269506,gd,jiejiari
20.5,54633.84996034978,gd,jiejiari
21.5,53951.72541257825,gd,jiejiari
22.5,52272.52453443643,gd,jiejiari
23.5,49205.97197681595,gd,jiejiari
0.5,11115.104972619552,gs,gongzuori
1.5,11070.195947964192,gs,gongzuori
2.5,10923.809220354558,gs,gongzuori
3.5,10947.812656744249,gs,gongzuori
4.5,10757.929016237746,gs,gongzuori
5.5,10853.420955691588,gs,gongzuori
6.5,11508.651752298318,gs,gongzuori
7.5,12014.560377411704,gs,gongzuori
8.5,11384.39130512491,gs,gongzuori
9.5,11976.71713374889,gs,gongzuori
10.5,12133.28597342228,gs,gongzuori
11.5,12505.431691580001,gs,gongzuori
12.5,12482.210649195998,gs,gongzuori
13.5,12001.93108889404,gs,gongzuori
14.5,12215.21139104933,gs,gongzuori
15.5,12054.403567038858,gs,gongzuori
16.5,12508.787030348398,gs,gongzuori
17.5,12839.515278710282,gs,gongzuori
18.5,12928.023926008915,gs,gongzuori
19.5,12510.635692387754,gs,gongzuori
20.5,12622.824127413574,gs,gongzuori
21.5,12222.52860294739,gs,gongzuori
22.5,12114.465260478188,gs,gongzuori
23.5,11749.182183876985,gs,gongzuori
0.5,11016.080234214834,gs,jiejiari
1.5,10965.489239464452,gs,jiejiari
2.5,10795.057995026798,gs,jiejiari
3.5,10776.241024708841,gs,jiejiari
4.5,10807.312335663168,gs,jiejiari
5.5,11061.464064653486,gs,jiejiari
6.5,10936.093052934391,gs,jiejiari
7.5,11598.056951999908,gs,jiejiari
8.5,11557.172453470064,gs,jiejiari
9.5,11765.224457482294,gs,jiejiari
10.5,11676.248527931453,gs,jiejiari
11.5,11968.136666299302,gs,jiejiari
12.5,11978.187405354429,gs,jiejiari
13.5,11753.701096830422,gs,jiejiari
14.5,11874.426019859595,gs,jiejiari
15.5,11430.719099274971,gs,jiejiari
16.5,11477.40548524175,gs,jiejiari
17.5,12082.910691548253,gs,jiejiari
18.5,12314.40284624219,gs,jiejiari
19.5,12339.46815408458,gs,jiejiari
20.5,12098.486950505521,gs,jiejiari
21.5,11689.311484810993,gs,jiejiari
22.5,11639.928929816379,gs,jiejiari
23.5,11406.868322893466,gs,jiejiari
0.5,15822.083588054114,gx,gongzuori
1.5,14949.660873676341,gx,gongzuori
2.5,14333.92715455175,gx,gongzuori
3.5,13896.161949040265,gx,gongzuori
4.5,13496.715731942128,gx,gongzuori
5.5,13593.859867060331,gx,gongzuori
6.5,14435.559011082167,gx,gongzuori
7.5,14855.824418718696,gx,gongzuori
8.5,16671.412022915156,gx,gongzuori
9.5,18078.036138467654,gx,gongzuori
10.5,19047.589884338955,gx,gongzuori
11.5,19391.037699028948,gx,gongzuori
12.5,18301.092459135343,gx,gongzuori
13.5,18835.227405917507,gx,gongzuori
14.5,19512.863197508344,gx,gongzuori
15.5,19785.453339065214,gx,gongzuori
16.5,19859.920760604018,gx,gongzuori
17.5,19815.325252278693,gx,gongzuori
18.5,18725.883034579576,gx,gongzuori
19.5,18887.39554899667,gx,gongzuori
20.5,19790.167904231206,gx,gongzuori
21.5,19784.741687618112,gx,gongzuori
22.5,19118.972290289556,gx,gongzuori
23.5,17812.81813363156,gx,gongzuori
0.5,12895.1888513351,gx,jiejiari
1.5,12332.108541708685,gx,jiejiari
2.5,11863.262980139589,gx,jiejiari
3.5,11465.89756201953,gx,jiejiari
4.5,11370.939825450203,gx,jiejiari
5.5,11658.55367026317,gx,jiejiari
6.5,12420.449762837212,gx,jiejiari
7.5,13495.86929831835,gx,jiejiari
8.5,13732.100806159731,gx,jiejiari
9.5,14264.422712265085,gx,jiejiari
10.5,14836.351754918394,gx,jiejiari
11.5,15041.172001567458,gx,jiejiari
12.5,14267.700050635098,gx,jiejiari
13.5,14122.94234892874,gx,jiejiari
14.5,14435.626047082887,gx,jiejiari
15.5,14827.771651386945,gx,jiejiari
16.5,15179.269564383743,gx,jiejiari
17.5,16179.790309822998,gx,jiejiari
18.5,16260.688763138309,gx,jiejiari
19.5,16818.555667590797,gx,jiejiari
20.5,16225.429279674734,gx,jiejiari
21.5,15637.264900323591,gx,jiejiari
22.5,14840.33519442574,gx,jiejiari
23.5,13407.51922619874,gx,jiejiari
0.5,10821.23084595022,gz,gongzuori
1.5,10264.037046103706,gz,gongzuori
2.5,9986.870156817815,gz,gongzuori
3.5,9744.64568818087,gz,gongzuori
4.5,9885.42275957066,gz,gongzuori
5.5,9971.2020821789,gz,gongzuori
6.5,10933.904530875589,gz,gongzuori
7.5,12506.311518620576,gz,gongzuori
8.5,14038.274281846883,gz,gongzuori
9.5,15042.865746174733,gz,gongzuori
10.5,15554.22704514481,gz,gongzuori
11.5,15696.22010607882,gz,gongzuori
12.5,14369.609769122875,gz,gongzuori
13.5,14080.203577954955,gz,gongzuori
14.5,14108.405869937787,gz,gongzuori
15.5,13937.255570233378,gz,gongzuori
16.5,14534.747301782625,gz,gongzuori
17.5,15354.535764747423,gz,gongzuori
18.5,15101.577739556757,gz,gongzuori
19.5,15044.137121525466,gz,gongzuori
20.5,15191.642925231377,gz,gongzuori
21.5,14532.446150492522,gz,gongzuori
22.5,13428.27098153937,gz,gongzuori
23.5,12137.018296631184,gz,gongzuori
0.5,10035.820109546776,gz,jiejiari
1.5,9602.123303260214,gz,jiejiari
2.5,9234.00802064287,gz,jiejiari
3.5,9051.461503718867,gz,jiejiari
4.5,8963.892945939311,gz,jiejiari
5.5,9054.076490398154,gz,jiejiari
6.5,9616.315956450277,gz,jiejiari
7.5,11289.782523185728,gz,jiejiari
8.5,12576.417297484624,gz,jiejiari
9.5,13393.143914547929,gz,jiejiari
10.5,13744.890790776732,gz,jiejiari
11.5,13551.399346875802,gz,jiejiari
12.5,12542.67527202582,gz,jiejiari
13.5,12338.843533860982,gz,jiejiari
14.5,12294.703429899751,gz,jiejiari
15.5,12418.290114889713,gz,jiejiari
16.5,12849.181589254948,gz,jiejiari
17.5,13669.713291604194,gz,jiejiari
18.5,14123.022167080617,gz,jiejiari
19.5,14478.9186178046,gz,jiejiari
20.5,13609.331904620165,gz,jiejiari
21.5,13143.894298363748,gz,jiejiari
22.5,12130.785127730189,gz,jiejiari
23.5,11058.14555810648,gz,jiejiari
0.5,48952.848375095135,ha,gongzuori
1.5,47454.1316780414,ha,gongzuori
2.5,45822.2976803723,ha,gongzuori
3.5,44206.71474889115,ha,gongzuori
4.5,43290.80584836899,ha,gongzuori
5.5,42797.42591601029,ha,gongzuori
6.5,44730.117340423596,ha,gongzuori
7.5,44863.16498873689,ha,gongzuori
8.5,45768.16220587909,ha,gongzuori
9.5,47901.995403792556,ha,gongzuori
10.5,50536.78758824607,ha,gongzuori
11.5,54228.35360292118,ha,gongzuori
12.5,55626.828994050324,ha,gongzuori
13.5,55812.430923482934,ha,gongzuori
14.5,54922.61244855965,ha,gongzuori
15.5,54783.66365820146,ha,gongzuori
16.5,53816.887829456326,ha,gongzuori
17.5,53416.002859970926,ha,gongzuori
18.5,51574.160645334465,ha,gongzuori
19.5,51286.0093342383,ha,gongzuori
20.5,53595.7251588385,ha,gongzuori
21.5,53824.70805062605,ha,gongzuori
22.5,52428.261943137244,ha,gongzuori
23.5,48448.62386514173,ha,gongzuori
0.5,29787.98812704596,ha,jiejiari
1.5,30309.68324501844,ha,jiejiari
2.5,29857.941040280384,ha,jiejiari
3.5,29562.09031052549,ha,jiejiari
4.5,28920.616261088006,ha,jiejiari
5.5,29392.59575422365,ha,jiejiari
6.5,32398.402458394605,ha,jiejiari
7.5,33471.867881956074,ha,jiejiari
8.5,31453.328405997916,ha,jiejiari
9.5,31628.79639659297,ha,jiejiari
10.5,32437.734161912736,ha,jiejiari
11.5,33898.19771922999,ha,jiejiari
12.5,32944.498232642676,ha,jiejiari
13.5,32554.32295214925,ha,jiejiari
14.5,32809.76092688765,ha,jiejiari
15.5,33004.538341503685,ha,jiejiari
16.5,32783.07320780692,ha,jiejiari
17.5,34729.89722326208,ha,jiejiari
18.5,35545.243529648214,ha,jiejiari
19.5,35393.121518956155,ha,jiejiari
20.5,34547.622683636706,ha,jiejiari
21.5,33282.556635170535,ha,jiejiari
22.5,31868.89668379691,ha,jiejiari
23.5,30575.975832277156,ha,jiejiari
0.5,29402.50867802588,hb,gongzuori
1.5,29079.360113821436,hb,gongzuori
2.5,28309.46718409057,hb,gongzuori
3.5,27317.754100845203,hb,gongzuori
4.5,26519.190980056304,hb,gongzuori
5.5,26103.758739703473,hb,gongzuori
6.5,26327.07290529191,hb,gongzuori
7.5,26341.427697975483,hb,gongzuori
8.5,28832.22162613316,hb,gongzuori
9.5,30647.591453110334,hb,gongzuori
10.5,31667.232532694565,hb,gongzuori
11.5,32505.973735608794,hb,gongzuori
12.5,33179.75083994697,hb,gongzuori
13.5,33992.15363717565,hb,gongzuori
14.5,34085.94071458865,hb,gongzuori
15.5,33983.55867381205,hb,gongzuori
16.5,33594.00968167326,hb,gongzuori
17.5,32244.68321175954,hb,gongzuori
18.5,30171.302065091655,hb,gongzuori
19.5,30178.562492858255,hb,gongzuori
20.5,33048.986587538086,hb,gongzuori
21.5,33347.65353350185,hb,gongzuori
22.5,32741.172015144257,hb,gongzuori
23.5,30197.334079746848,hb,gongzuori
0.5,16390.923154333672,hb,jiejiari
1.5,15614.408356187938,hb,jiejiari
2.5,15334.027015415357,hb,jiejiari
3.5,15222.444493385507,hb,jiejiari
4.5,15302.309182489253,hb,jiejiari
5.5,15776.381658638524,hb,jiejiari
6.5,16532.146624385816,hb,jiejiari
7.5,17369.499623142277,hb,jiejiari
8.5,17968.982681660556,hb,jiejiari
9.5,18429.337627723657,hb,jiejiari
10.5,18475.255063721626,hb,jiejiari
11.5,18429.082991754196,hb,jiejiari
12.5,17886.75810623339,hb,jiejiari
13.5,17753.680207230555,hb,jiejiari
14.5,18077.32246677981,hb,jiejiari
15.5,18172.473613171143,hb,jiejiari
16.5,18868.436007432352,hb,jiejiari
17.5,19662.740001433373,hb,jiejiari
18.5,19208.082207027794,hb,jiejiari
19.5,19108.253728279215,hb,jiejiari
20.5,18622.577294277573,hb,jiejiari
21.5,18087.564948982992,hb,jiejiari
22.5,17536.851331204587,hb,jiejiari
23.5,16320.541190615593,hb,jiejiari
0.5,23054.94187478104,he,gongzuori
1.5,22096.667844091073,he,gongzuori
2.5,21573.73022352825,he,gongzuori
3.5,21096.467841533737,he,gongzuori
4.5,20795.833351004625,he,gongzuori
5.5,20976.976295111963,he,gongzuori
6.5,22869.979266561742,he,gongzuori
7.5,23463.195882891185,he,gongzuori
8.5,25387.290283679926,he,gongzuori
9.5,27378.114684897417,he,gongzuori
10.5,28920.288977339504,he,gongzuori
11.5,31269.936111507104,he,gongzuori
12.5,29677.881281370006,he,gongzuori
13.5,29526.240239060407,he,gongzuori
14.5,29970.28568949742,he,gongzuori
15.5,30069.118862335425,he,gongzuori
16.5,29929.431261810256,he,gongzuori
17.5,29796.085938790024,he,gongzuori
18.5,29846.297871852028,he,gongzuori
19.5,29280.07203560614,he,gongzuori
20.5,29439.83155841603,he,gongzuori
21.5,29110.298215537023,he,gongzuori
22.5,28233.527839254202,he,gongzuori
23.5,25711.763643679322,he,gongzuori
0.5,18627.314216282386,he,jiejiari
1.5,17961.944715643018,he,jiejiari
2.5,17606.502981804995,he,jiejiari
3.5,17246.229378070457,he,jiejiari
4.5,17292.27929943786,he,jiejiari
5.5,17590.627325504774,he,jiejiari
6.5,20456.24290040746,he,jiejiari
7.5,21675.952511836265,he,jiejiari
8.5,21547.01749023497,he,jiejiari
9.5,22041.344006145224,he,jiejiari
10.5,22424.613240895327,he,jiejiari
11.5,23390.21852144008,he,jiejiari
12.5,20459.642547648575,he,jiejiari
13.5,20588.69712625106,he,jiejiari
14.5,21496.85433742183,he,jiejiari
15.5,22432.64639879552,he,jiejiari
16.5,23023.02943685132,he,jiejiari
17.5,24092.072173830722,he,jiejiari
18.5,24958.936463669987,he,jiejiari
19.5,22603.47487416993,he,jiejiari
20.5,22448.352175394262,he,jiejiari
21.5,22366.2645868087,he,jiejiari
22.5,21346.597757184445,he,jiejiari
23.5,19598.258110457882,he,jiejiari
0.5,3633.0099611572814,hi,gongzuori
1.5,3423.770675619,hi,gongzuori
2.5,3254.1062503540657,hi,gongzuori
3.5,3129.797498980204,hi,gongzuori
4.5,3059.1430564033412,hi,gongzuori
5.5,3040.502062344361,hi,gongzuori
6.5,3107.235758527681,hi,gongzuori
7.5,3185.1247069429883,hi,gongzuori
8.5,3421.328250903452,hi,gongzuori
9.5,3733.514445614528,hi,gongzuori
10.5,3847.3966967365864,hi,gongzuori
11.5,3658.7655926793464,hi,gongzuori
12.5,3465.8805131130634,hi,gongzuori
13.5,3399.006535730227,hi,gongzuori
14.5,3374.4038812264826,hi,gongzuori
15.5,3412.1658622118644,hi,gongzuori
16.5,3556.15724621547,hi,gongzuori
17.5,3719.2557845848974,hi,gongzuori
18.5,3594.9100584641574,hi,gongzuori
19.5,3770.431824829292,hi,gongzuori
20.5,3770.2164247464734,hi,gongzuori
21.5,3631.1699033697487,hi,gongzuori
22.5,3402.171588981192,hi,gongzuori
23.5,3216.5949437013837,hi,gongzuori
0.5,2840.1588540103016,hi,jiejiari
1.5,2667.2721081720674,hi,jiejiari
2.5,2565.667334899759,hi,jiejiari
3.5,2464.824102427781,hi,jiejiari
4.5,2389.9437145783863,hi,jiejiari
5.5,2447.835521478632,hi,jiejiari
6.5,2591.7057227173464,hi,jiejiari
7.5,2750.5210154988517,hi,jiejiari
8.5,2862.6072596799404,hi,jiejiari
9.5,3111.452053674956,hi,jiejiari
10.5,3236.208787524397,hi,jiejiari
11.5,3190.5785598413886,hi,jiejiari
12.5,3116.185698449755,hi,jiejiari
13.5,3060.2342603923366,hi,jiejiari
14.5,3042.47060693696,hi,jiejiari
15.5,3076.3827186928347,hi,jiejiari
16.5,3215.2485780356797,hi,jiejiari
17.5,3482.2974020940846,hi,jiejiari
18.5,3513.7494442511083,hi,jiejiari
19.5,3598.634844648608,hi,jiejiari
20.5,3444.8233276771953,hi,jiejiari
21.5,3310.6939111072106,hi,jiejiari
22.5,3140.0094897100676,hi,jiejiari
23.5,2955.475330549682,hi,jiejiari
0.5,7557.252681420228,hl,gongzuori
1.5,7472.1942853455075,hl,gongzuori
2.5,7386.321911199777,hl,gongzuori
3.5,7385.544209383436,hl,gongzuori
4.5,7754.45677944014,hl,gongzuori
5.5,8960.596573848581,hl,gongzuori
6.5,9726.142014185443,hl,gongzuori
7.5,9584.012417880715,hl,gongzuori
8.5,9919.671681902646,hl,gongzuori
9.5,10123.049596455576,hl,gongzuori
10.5,10652.97160994081,hl,gongzuori
11.5,10510.232042733975,hl,gongzuori
12.5,9709.318330079015,hl,gongzuori
13.5,9821.555430299875,hl,gongzuori
14.5,9803.68167955215,hl,gongzuori
15.5,10011.941626717111,hl,gongzuori
16.5,10906.644809167201,hl,gongzuori
17.5,10834.251703947226,hl,gongzuori
18.5,10137.532529897819,hl,gongzuori
19.5,10425.33698776346,hl,gongzuori
20.5,10018.711273197303,hl,gongzuori
21.5,9267.311968029679,hl,gongzuori
22.5,8500.028635242072,hl,gongzuori
23.5,7764.7526237652455,hl,gongzuori
0.5,7326.914190725728,hl,jiejiari
1.5,7172.764837364934,hl,jiejiari
2.5,7183.600199095614,hl,jiejiari
3.5,7122.020757066937,hl,jiejiari
4.5,7323.678734272182,hl,jiejiari
5.5,8142.615301293998,hl,jiejiari
6.5,9320.168985182861,hl,jiejiari
7.5,9221.0724492871,hl,jiejiari
8.5,9037.110038572186,hl,jiejiari
9.5,9139.438646749773,hl,jiejiari
10.5,9445.679629081213,hl,jiejiari
11.5,9491.745019402208,hl,jiejiari
12.5,8862.299269743598,hl,jiejiari
13.5,8951.729126773638,hl,jiejiari
14.5,8927.34822154722,hl,jiejiari
15.5,9304.175515856808,hl,jiejiari
16.5,10114.181507730349,hl,jiejiari
17.5,10557.919672217917,hl,jiejiari
18.5,10157.612766303373,hl,jiejiari
19.5,9926.440848653921,hl,jiejiari
20.5,9501.669221652224,hl,jiejiari
21.5,8974.99199387453,hl,jiejiari
22.5,8165.246453380352,hl,jiejiari
23.5,7530.736479051376,hl,jiejiari
0.5,21213.345456054798,hn,gongzuori
1.5,19939.64180121012,hn,gongzuori
2.5,18997.103344088337,hn,gongzuori
3.5,18084.0847809968,hn,gongzuori
4.5,17619.57285224561,hn,gongzuori
5.5,17242.319922280407,hn,gongzuori
6.5,17809.842048385235,hn,gongzuori
7.5,18329.990155790925,hn,gongzuori
8.5,20131.160039394133,hn,gongzuori
9.5,21911.31208493159,hn,gongzuori
10.5,23387.40264488495,hn,gongzuori
11.5,24973.14350576308,hn,gongzuori
12.5,23982.66355902026,hn,gongzuori
13.5,24562.396878971595,hn,gongzuori
14.5,24335.534974015998,hn,gongzuori
15.5,23896.776099995117,hn,gongzuori
16.5,23797.586809006876,hn,gongzuori
17.5,23640.23572163556,hn,gongzuori
18.5,22386.627402394763,hn,gongzuori
19.5,23005.935653141707,hn,gongzuori
20.5,24892.19017918325,hn,gongzuori
21.5,24471.860018081174,hn,gongzuori
22.5,23869.361154987102,hn,gongzuori
23.5,22236.21550369342,hn,gongzuori
0.5,11590.973599048399,hn,jiejiari
1.5,11082.875467646007,hn,jiejiari
2.5,10847.375747401655,hn,jiejiari
3.5,10540.652219706144,hn,jiejiari
4.5,10632.18796025662,hn,jiejiari
5.5,11060.713076757764,hn,jiejiari
6.5,12518.11363696355,hn,jiejiari
7.5,13232.836926905615,hn,jiejiari
8.5,13626.094629058385,hn,jiejiari
9.5,14267.85686425009,hn,jiejiari
10.5,14789.881715292664,hn,jiejiari
11.5,15478.201228626162,hn,jiejiari
12.5,14220.452594274151,hn,jiejiari
13.5,13494.485596118828,hn,jiejiari
14.5,13447.819564271202,hn,jiejiari
15.5,13049.281767633895,hn,jiejiari
16.5,14222.236668798074,hn,jiejiari
17.5,15136.470436084566,hn,jiejiari
18.5,15930.532630180991,hn,jiejiari
19.5,15815.63197236589,hn,jiejiari
20.5,15199.057444704742,hn,jiejiari
21.5,14343.416078033995,hn,jiejiari
22.5,13761.650045458839,hn,jiejiari
23.5,12589.739973106936,hn,jiejiari
0.5,17789.412705738225,jibei,gongzuori
1.5,17827.255939954408,jibei,gongzuori
2.5,17324.46875217111,jibei,gongzuori
3.5,17487.261661853354,jibei,gongzuori
4.5,16977.45548883619,jibei,gongzuori
5.5,17536.772811970895,jibei,gongzuori
6.5,18138.352866092486,jibei,gongzuori
7.5,18356.44931654268,jibei,gongzuori
8.5,18683.377517915374,jibei,gongzuori
9.5,19273.690233806446,jibei,gongzuori
10.5,19921.032179725902,jibei,gongzuori
11.5,20292.97231870127,jibei,gongzuori
12.5,19317.264157401063,jibei,gongzuori
13.5,19524.25414208627,jibei,gongzuori
14.5,19688.829522058844,jibei,gongzuori
15.5,20023.611223951473,jibei,gongzuori
16.5,20453.419893451304,jibei,gongzuori
17.5,20461.64986652108,jibei,gongzuori
18.5,20412.046662298857,jibei,gongzuori
19.5,20414.888352516224,jibei,gongzuori
20.5,20458.957231435274,jibei,gongzuori
21.5,19898.229511610705,jibei,gongzuori
22.5,19106.923219716624,jibei,gongzuori
23.5,18483.92813327024,jibei,gongzuori
0.5,16283.541408615014,jibei,jiejiari
1.5,16224.555937923742,jibei,jiejiari
2.5,15930.816561097037,jibei,jiejiari
3.5,16076.372154388,jibei,jiejiari
4.5,16038.033014424871,jibei,jiejiari
5.5,16335.48424697584,jibei,jiejiari
6.5,17258.532648286644,jibei,jiejiari
7.5,17085.26794969387,jibei,jiejiari
8.5,16932.86252202764,jibei,jiejiari
9.5,17019.172274597924,jibei,jiejiari
10.5,17210.63851928756,jibei,jiejiari
11.5,17125.219306513838,jibei,jiejiari
12.5,16292.521242721145,jibei,jiejiari
13.5,16501.35016557424,jibei,jiejiari
14.5,16761.900783622805,jibei,jiejiari
15.5,17211.154739510966,jibei,jiejiari
16.5,17857.651765681498,jibei,jiejiari
17.5,18348.24390900697,jibei,jiejiari
18.5,19059.09032682714,jibei,jiejiari
19.5,18583.044934205096,jibei,jiejiari
20.5,18167.70259860695,jibei,jiejiari
21.5,17994.680687747783,jibei,jiejiari
22.5,17733.51347056462,jibei,jiejiari
23.5,16905.036092669037,jibei,jiejiari
0.5,6112.190816671948,jl,gongzuori
1.5,5971.745790833602,jl,gongzuori
2.5,5882.732592056003,jl,gongzuori
3.5,5886.699354063919,jl,gongzuori
4.5,5969.92678932274,jl,gongzuori
5.5,6820.277090615842,jl,gongzuori
6.5,7328.376940549452,jl,gongzuori
7.5,7447.316601385157,jl,gongzuori
8.5,7938.545850579109,jl,gongzuori
9.5,8303.97293472267,jl,gongzuori
10.5,8603.021057753223,jl,gongzuori
11.5,8234.459067868109,jl,gongzuori
12.5,8091.027888857285,jl,gongzuori
13.5,8270.98869788994,jl,gongzuori
14.5,8188.6816070093455,jl,gongzuori
15.5,8387.286402447675,jl,gongzuori
16.5,8560.97997561125,jl,gongzuori
17.5,8403.809140567724,jl,gongzuori
18.5,8046.102427793462,jl,gongzuori
19.5,8347.690284914932,jl,gongzuori
20.5,8133.124827690024,jl,gongzuori
21.5,7677.558742467447,jl,gongzuori
22.5,7022.24245779169,jl,gongzuori
23.5,6464.655437268304,jl,gongzuori
0.5,5405.168817793159,jl,jiejiari
1.5,5322.922542208555,jl,jiejiari
2.5,5194.47869595708,jl,jiejiari
3.5,5183.868006571058,jl,jiejiari
4.5,5328.846731900761,jl,jiejiari
5.5,5859.439773073058,jl,jiejiari
6.5,6612.835495280699,jl,jiejiari
7.5,6661.898830427883,jl,jiejiari
8.5,6713.755614247179,jl,jiejiari
9.5,6808.7459729418415,jl,jiejiari
10.5,6782.850946256687,jl,jiejiari
11.5,6601.2021134213255,jl,jiejiari
12.5,6365.225313535879,jl,jiejiari
13.5,6393.566467328382,jl,jiejiari
14.5,6450.2026372333485,jl,jiejiari
15.5,6665.887218970514,jl,jiejiari
