x,y,p,d
0.5,13931.104185870825,cq,gongzuori
1.5,13075.207297884206,cq,gongzuori
2.5,12435.90142367908,cq,gongzuori
3.5,11895.0812940556,cq,gongzuori
4.5,11532.283276947092,cq,gongzuori
5.5,11273.66828669963,cq,gongzuori
6.5,11275.795348728969,cq,gongzuori
7.5,11591.472823705803,cq,gongzuori
8.5,13172.040131351014,cq,gongzuori
9.5,14556.085018607304,cq,gongzuori
10.5,15366.506988888937,cq,gongzuori
11.5,15601.467988913355,cq,gongzuori
12.5,15148.085894989139,cq,gongzuori
13.5,15569.351104631034,cq,gongzuori
14.5,16011.138312440147,cq,gongzuori
15.5,16159.634203383772,cq,gongzuori
16.5,16256.798746500484,cq,gongzuori
17.5,16052.57677364208,cq,gongzuori
18.5,15036.195746842319,cq,gongzuori
19.5,14604.444287189091,cq,gongzuori
20.5,15398.440913286688,cq,gongzuori
21.5,15500.86309780117,cq,gongzuori
22.5,14597.681600503089,cq,gongzuori
23.5,13796.961302633465,cq,gongzuori
0.5,5947.842764975131,cq,jiejiari
1.5,5715.517487849713,cq,jiejiari
2.5,5578.836630122605,cq,jiejiari
3.5,5450.456975175483,cq,jiejiari
4.5,5373.8391402037605,cq,jiejiari
5.5,5500.309986319968,cq,jiejiari
6.5,6013.656058648439,cq,jiejiari
7.5,6733.880909481046,cq,jiejiari
8.5,7126.9543025722305,cq,jiejiari
9.5,7602.548882533305,cq,jiejiari
10.5,7903.463858290416,cq,jiejiari
11.5,8294.045795264008,cq,jiejiari
12.5,7606.055333446166,cq,jiejiari
13.5,7484.034131619717,cq,jiejiari
14.5,7482.850995578885,cq,jiejiari
15.5,7521.193530750615,cq,jiejiari
16.5,7849.8335889834825,cq,jiejiari
17.5,8247.966156720111,cq,jiejiari
18.5,8218.661279813527,cq,jiejiari
19.5,8285.944106347455,cq,jiejiari
20.5,8044.284534378104,cq,jiejiari
21.5,7654.096526494601,cq,jiejiari
22.5,6878.513929148678,cq,jiejiari
23.5,6606.270357420416,cq,jiejiari
0.5,29057.01339668835,fj,gongzuori
1.5,28627.868579815233,fj,gongzuori
2.5,27607.173716687867,fj,gongzuori
3.5,26857.980917605397,fj,gongzuori
4.5,26150.32314238112,fj,gongzuori
5.5,26156.658929299476,fj,gongzuori
6.5,26538.61279313827,fj,gongzuori
7.5,26949.033424320947,fj,gongzuori
8.5,29572.70894188951,fj,gongzuori
9.5,31965.809701861283,fj,gongzuori
10.5,33907.07583357094,fj,gongzuori
11.5,34470.30582547412,fj,gongzuori
12.5,32663.870901329123,fj,gongzuori
13.5,33295.31141565657,fj,gongzuori
14.5,33674.60424671228,fj,gongzuori
15.5,33674.87676448119,fj,gongzuori
16.5,33741.37702061553,fj,gongzuori
17.5,33489.64470034095,fj,gongzuori
18.5,32477.192126868787,fj,gongzuori
19.5,32537.53678113679,fj,gongzuori
20.5,32790.168705327815,fj,gongzuori
21.5,33106.030346809195,fj,gongzuori
22.5,32860.21034728784,fj,gongzuori
23.5,31546.144822110407,fj,gongzuori
0.5,20947.253139349665,fj,jiejiari
1.5,20276.13756877443,fj,jiejiari
2.5,19818.333639022818,fj,jiejiari
3.5,19294.624593684443,fj,jiejiari
4.5,19286.050540271877,fj,jiejiari
5.5,19662.600849642535,fj,jiejiari
6.5,21020.7329153963,fj,jiejiari
7.5,21474.329993262043,fj,jiejiari
8.5,22593.889155427772,fj,jiejiari
9.5,23916.903371274588,fj,jiejiari
10.5,25516.345248803977,fj,jiejiari
11.5,25708.973435730542,fj,jiejiari
12.5,23630.959683988243,fj,jiejiari
13.5,23626.41728794377,fj,jiejiari
14.5,24079.88738069304,fj,jiejiari
15.5,24494.918881662863,fj,jiejiari
16.5,25076.253714606482,fj,jiejiari
17.5,25976.876983819122,fj,jiejiari
18.5,26247.169053512873,fj,jiejiari
19.5,25821.340372401464,fj,jiejiari
20.5,25509.211296423367,fj,jiejiari
21.5,25389.328211812903,fj,jiejiari
22.5,24253.660609997423,fj,jiejiari
23.5,22853.51869670748,fj,jiejiari
0.5,87014.73405161258,gd,gongzuori
1.5,84029.04060764411,gd,gongzuori
2.5,80202.4992796148,gd,gongzuori
3.5,77352.28442610355,gd,gongzuori
4.5,75046.03947365735,gd,gongzuori
5.5,73573.03212237051,gd,gongzuori
6.5,73580.40552523868,gd,gongzuori
7.5,76847.18810840862,gd,gongzuori
8.5,94606.60248437713,gd,gongzuori
9.5,102506.45780021398,gd,gongzuori
10.5,106676.42075785338,gd,gongzuori
11.5,106795.98837717697,gd,gongzuori
12.5,96096.46495488488,gd,gongzuori
13.5,102862.373526505,gd,gongzuori
14.5,108224.82169995201,gd,gongzuori
15.5,108982.25786811784,gd,gongzuori
16.5,108982.25782672559,gd,gongzuori
17.5,103402.97368601829,gd,gongzuori
18.5,96749.58546683325,gd,gongzuori
19.5,99474.21182234075,gd,gongzuori
20.5,98714.46479645303,gd,gongzuori
21.5,97981.31255020038,gd,gongzuori
22.5,97285.49887902656,gd,gongzuori
23.5,93173.15607861936,gd,gongzuori
0.5,56264.23478770415,gd,jiejiari
1.5,53243.527699527425,gd,jiejiari
2.5,50819.98728554751,gd,jiejiari
3.5,48791.85053292379,gd,jiejiari
4.5,47257.128972555634,gd,jiejiari
5.5,46222.22490357945,gd,jiejiari
6.5,46048.19343460856,gd,jiejiari
7.5,45455.64715234627,gd,jiejiari
8.5,45198.25292250757,gd,jiejiari
9.5,47659.93840894985,gd,jiejiari
10.5,49918.57317016063,gd,jiejiari
11.5,51886.08779064554,gd,jiejiari
12.5,49743.88783085332,gd,jiejiari
