province,prefecture,2022-12,2022-11,2022-10,2022-9,2022-8,2022-7,2022-6,2022-5,2022-4,2022-3,2022-2,2022-1
江苏省,连云港市,27.6,22.12,21.52,20.96,26.51,23.97,21.45,18.17,15.62,17.23,19.72,21.06
江苏省,淮安市,22.92,19.3,19.05,20.1,27.38,25.84,23.02,18.52,16.3,18.4,17.39,20.44
江苏省,盐城市,40.13,36.38,17.37,57.5,47.64,46.17,38.27,32.33,28.79,35.04,33.51,35.79
江苏省,扬州市,28.33,23.73,24.02,24.39,34.61,32.74,27.21,22.93,21.65,24.46,23.95,25.59
江苏省,镇江市,27.16,23.61,23.95,23.95,31.29,29.2,25.33,22.39,20.68,24.1,22.17,23.68
江苏省,泰州市,31.12983004,27.52027895,28.20345298,27.58122569,38.95694725,37.92790697,31.99164285,24.53124346,20.97672598,27.554461,31.84,34.01
江苏省,宿迁市,24.44,21.58,21.74,22.45,29.36,27.94,25.45,21.57,18.22,22.13,20.73,22.15
浙江省,全省,513.0,449.0,464.0,483.0,628.0,625.0,485.0,438.0,431.0,475.0,376.0,431.0
浙江省,杭州市,86.3,67.5,70.1,75.0,109.0,109.0,82.0,69.0,66.0,73.0,67.86,75.14
浙江省,宁波市,85.8,76.3,77.6,78.3,102.8,103.1,80.5,74.5,74.4,82.4,64.1,70.97
浙江省,温州市,47.14,41.34,43.26,48.45,60.66,61.19,43.91,40.21,39.82,44.3,31.18,34.52
浙江省,嘉兴市,57.51,51.05,52.75,55.2,70.58,69.32,56.87,49.63,46.32,52.69,42.02,46.52
浙江省,湖州市,32.0,28.7,29.2,29.8,38.1,37.8,30.2,27.4,27.7,30.2,27.8,30.78
浙江省,绍兴市,45.0,42.01,43.41,43.93,54.22,54.81,45.1,41.84,41.36,45.38,31.97,35.4
浙江省,金华市,45.46,39.32,41.09,41.94,55.52,57.24,41.8,38.64,36.89,41.46,30.38,33.63
浙江省,衢州市,20.12,18.75,19.26,19.28,22.22,22.28,18.68,18.29,17.2,15.65,14.3,15.83
浙江省,舟山市,16.78,15.4,16.2,15.5,18.62,16.59,14.39,13.76,13.52,18.78,10.98,12.16
浙江省,台州市,36.3,32.41,32.5,34.65,44.8,44.73,33.82,30.89,31.38,34.83,25.19,29.38
浙江省,丽水市,12.08,10.97,11.32,11.34,14.49,14.34,11.35,11.05,11.29,12.41,10.7,11.85
安徽省,全省,270.8,225.5,232.5,235.7,329.5,308.6,262.0,219.0,201.5,228.2,225.0,254.9
安徽省,合肥市,45.7,36.5,37.4,42.8,57.3,54.4,44.2,34.5,34.1,36.8,36.28,40.92
安徽省,淮北市,7.9,6.1,7.1,7.4,8.4,8.7,8.0,6.7,6.3,7.3,6.77,7.63
安徽省,亳州市,11.5,7.3,7.7,7.4,12.0,11.2,10.0,6.6,6.2,7.4,8.51,9.59
安徽省,宿州市,11.9,9.5,9.7,9.4,14.7,12.1,10.9,8.6,8.3,8.9,10.01,11.29
安徽省,蚌埠市,10.8,9.0,9.7,10.1,12.4,11.1,10.6,8.7,7.5,8.5,8.74,9.86
安徽省,阜阳市,18.4,14.4,15.8,16.5,23.4,22.1,18.3,13.7,13.0,15.2,16.87,19.03
安徽省,淮南市,10.3,7.8,8.6,8.9,12.2,11.5,9.5,7.6,6.3,8.3,8.37,9.43
安徽省,滁州市,24.5,21.5,27.1,24.1,28.1,27.7,22.4,21.7,19.1,23.0,20.63,23.27
安徽省,六安市,14.2,12.6,13.4,13.4,15.8,16.2,13.8,11.3,9.8,12.5,11.89,13.41
安徽省,马鞍山市,21.8,20.1,21.0,20.6,23.8,22.7,21.1,20.4,19.5,20.8,18.24,20.56
安徽省,芜湖市,21.7,19.5,22.1,21.7,25.7,24.6,20.6,19.0,17.3,20.9,18.8,21.2
安徽省,宣城市,14.5,15.5,16.3,16.4,18.8,17.3,15.1,14.8,14.2,16.9,12.36,13.94
安徽省,铜陵市,10.0,8.9,9.8,9.5,10.7,9.7,9.0,9.1,8.7,9.5,8.98,10.12
安徽省,池州市,8.7,8.6,9.0,9.3,9.8,8.7,8.6,8.4,8.0,9.0,7.38,8.32
安徽省,安庆市,13.5,11.1,12.8,13.1,16.5,15.7,11.5,10.9,10.6,11.4,11.66,13.14
安徽省,黄山市,4.9,3.8,3.8,4.2,5.7,5.0,3.9,3.7,3.8,4.3,4.0,4.51
福建省,全省,233.0,224.0,242.0,267.0,307.0,299.0,254.0,231.0,221.0,228.0,185.0,209.0
福建省,福州市,45.48,42.22,46.01,52.95,63.86,61.6,50.78,45.39,43.22,43.84,38.23,40.88
福建省,厦门市,25.11,25.31,27.35,33.03,37.67,37.7,30.78,25.82,24.9,25.14,20.01,22.98
福建省,三明市,15.35,14.36,15.36,15.35,16.4,16.67,14.46,15.25,15.01,14.99,12.0,14.75
福建省,莆田市,11.02,10.18,12.04,13.97,17.17,16.29,13.5,12.09,11.01,11.44,11.03,11.59
福建省,泉州市,48.96,47.58,51.86,57.31,64.27,62.87,53.73,49.94,45.01,47.7,36.7448,43.1352
福建省,漳州市,26.04,25.57,27.51,29.91,32.54,32.32,32.89,25.33,24.83,25.1,20.0146,23.4954
福建省,南平市,11.06,9.87,10.72,11.2,13.68,13.2,10.36,10.65,10.32,10.74,9.18,10.09
福建省,龙岩市,13.33,12.2,13.05,13.46,14.26,14.57,12.68,12.85,12.97,12.75,11.28,13.22
福建省,宁德市,23.53,23.87,24.58,25.24,29.99,27.82,23.9,22.79,22.45,24.92,18.15,19.21
江西省,全省,176.0,152.0,158.0,162.0,214.0,202.0,161.0,147.0,145.0,157.0,149.0,160.0
江西省,南昌市,27.1279,30.01,23.89,24.78,36.63,34.2,25.58,21.34,19.55,22.4,23.6688,25.6412
江西省,景德镇市,6.9632,5.6668,6.44,6.66,8.72,8.19,6.29,5.88,5.7,5.94,5.8416,6.3284
江西省,萍乡市,6.50488,6.92512,6.55,7.27,9.08,8.24,6.88,6.66,6.72,7.04,7.0272,7.6128
江西省,九江市,24.073,23.537,22.41,22.86,30.21,28.73,23.89,22.65,21.73,23.42,22.2048,24.0552
江西省,新余市,9.37895,8.49105,8.83,9.29,11.26,10.56,9.28,8.99,8.59,9.41,9.0384,9.7916
江西省,鹰潭市,5.46776,5.00224,4.87,4.51,6.49,6.66,5.08,4.86,4.67,5.15,4.8,5.2
江西省,赣州市,26.1132,22.1768,22.84,23.47,28.13,27.56,21.67,20.59,20.62,21.41,20.7312,22.4588
江西省,吉安市,13.51604,12.05396,12.43,11.56,16.89,15.63,12.65,11.83,11.65,13.39,12.0096,13.0104
江西省,宜春市,22.81016,21.55984,22.17,22.88,27.56,26.48,22.03,19.91,20.55,22.12,17.3424,18.7876
江西省,抚州市,10.1528,9.9372,9.61,9.93,13.27,12.45,9.45,8.86,8.47,8.98,8.808,9.542
江西省,上饶市,20.7186,16.7914,18.14,18.9,25.86,23.7,17.71,15.84,16.56,17.98,16.6368,18.0232
山东省,全省,690.0,612.0,591.0,609.0,714.0,668.0,658.0,606.0,569.0,631.0,551.0,660.0
山东省,济南市,47.6,40.2,38.7,39.4,49.2,46.8,45.7,37.1,34.0,39.8,35.7,45.4
山东省,青岛市,57.398804,46.773581,44.0479,44.017192,56.106284,53.57838,44.6535,43.511744,42.3594,47.873486,43.519687,52.802677
山东省,淄博市,37.0710293,33.93375539,33.66662702,33.84000411,38.51390221,37.55152593,36.56160926,35.4801672,32.48521367,33.0011419,29.52817038,34.66350436
山东省,枣庄市,17.6,13.4,14.6,16.4,20.8,18.5,17.6,15.7,12.93,15.58,14.02163225,16.46017699
山东省,东营市,34.24,30.63,29.66,30.95,34.54,33.89,31.74,30.06,28.03,31.99,26.41692583,31.0111738
山东省,烟台市,56.26,49.59,46.79,48.99,54.98,52.35,52.0,49.92,47.85,53.12,46.89450508,55.05007119
山东省,潍坊市,62.7,57.2,57.0,56.6,64.6,62.0,59.3,58.5,52.8,60.36,49.56177665,58.18121606
山东省,济宁市,36.73,45.12,31.51,30.36,26.46,38.75,37.61,30.65,28.51,32.52,29.6562,34.8138
山东省,泰安市,24.8,21.6,20.5,20.9,25.8,23.5,22.5,20.2,19.1,21.1,19.136,22.464
山东省,威海市,14.992,13.174,12.204,12.359,14.212,13.676,11.724,11.574,11.69,12.176,12.34134,14.48766
山东省,日照市,23.6,23.53,23.4,23.68,24.78,20.1,23.03,22.93,21.7,22.15,20.079,23.571
山东省,临沂市,54.4851976,46.29589546,45.19311738,45.25224828,57.6113297,51.25303657,50.99613153,47.67550622,44.37275231,52.4096664,41.25786517,48.43314607
山东省,德州市,26.46,22.65,23.35,24.49,28.78,27.73,26.78,23.87,23.09,24.68,21.1048,24.7752
山东省,聊城市,58.41,52.75,55.24,53.05,60.31,57.37,60.38,53.36,52.06,58.26,49.0498,57.5802
山东省,滨州市,106.1,106.63,93.2,105.61,109.07,97.18,107.36,101.12,95.64,99.61,93.9596,110.3004
山东省,菏泽市,27.40731402,21.8442197,21.89479098,22.63109873,29.13795882,26.47739373,28.32479998,22.12,19.92609136,23.33904422,21.72150235,25.49915493
河南省,全省,348.0,275.0,277.0,306.0,423.0,387.0,395.0,290.0,273.0,298.0,287.0,350.0
河南省,郑州市,55.9044,40.6893,41.485,51.298559,69.475,62.5816,65.5064,45.754537,44.372427,49.874527,42.81429,54.03
河南省,开封市,12.75,9.3,9.2,9.73,14.55,13.01,14.44,9.62,9.16,10.7578,10.14,12.39
河南省,洛阳市,39.67,34.48,35.3,36.98,45.33,43.29,42.91,37.24,35.35,37.23,35.84,43.81
河南省,平顶山市,20.60189822,16.36967213,17.19256374,18.32335689,25.22077159,23.06795833,23.311019,17.5695032,16.04274007,17.19986832,17.12117131,20.88
河南省,安阳市,21.57,17.55,17.76,17.87,22.45,19.9,22.78,18.47,18.5,19.12,17.7,18.57
河南省,鹤壁市,5.98242326,4.7534604,4.99241342,5.32077555,7.32366158,6.69852306,6.76910354,5.10186991,4.65852516,4.99453454,4.971682333,6.063027237
河南省,新乡市,25.37952176,20.16583354,21.17955544,22.5725819,31.06952159,28.4174664,28.71689336,21.64390795,19.76308524,21.18855397,21.09160696,25.7214719
河南省,焦作市,23.53693893,18.70177055,19.64189506,20.93378618,28.81383815,26.35432526,26.63201347,20.07253504,18.32826224,19.65024029,19.56033174,19.56033174
河南省,濮阳市,12.08,8.88,9.17,9.81,13.5,11.88,13.12,9.47,9.04,10.33,11.02,10.16889952
河南省,许昌市,14.39567589,11.43838747,12.01338696,12.80353414,17.62313598,16.11884731,16.28868713,12.27677523,11.20994211,12.01849107,11.96350115,14.58963556
河南省,漯河市,7.9,6.3,6.1,6.873684211,9.426315789,9.0,9.3,6.3,5.2,7.3,6.3,7.7
河南省,三门峡市,13.38283032,10.63360969,11.16815358,11.90270787,16.38321397,14.98476348,15.14265378,11.41301047,10.4212372,11.17289858,24.68492106,13.57670658
河南省,南阳市,26.21,24.27924111,19.06075889,23.82,35.1,32.42,31.43,22.24,20.54,22.05,22.5675,27.5825
河南省,商丘市,18.63,13.57,13.69,15.5,22.18,20.96,21.96,14.2,15.06,14.17,15.138,18.502
河南省,信阳市,14.78,11.01,11.36,12.47,20.21,18.18,15.84,11.4,10.55,11.63,12.4875,15.2625
河南省,周口市,16.01,11.61,11.65,12.7,20.82,18.62,19.11,10.84,9.84,13.27,13.059,15.961
河南省,驻马店市,14.5655155,11.57333711,12.15512042,12.95458972,17.83105303,16.30901682,16.48086041,12.42161613,11.34219656,12.16028475,12.10464606,14.76176349
河南省,济源市（省直辖县）,9.21468329,7.32172068,7.68977829,8.19555211,11.28058298,10.31768664,10.42640124,7.85837333,7.17549263,7.69304544,7.657846353,9.338837017
湖北省,全省,228.8102,188.618479,196.058984,210.494094,299.423643,277.78,233.9483,198.6336,188.7144,203.7299,196.75,224.84
湖北省,武汉市,62.5656,49.221085,52.901934,60.592622,90.279659,84.3787,68.4317,52.5411,48.2711,52.5526,54.15877546,61.89102454
湖北省,黄石市,16.56,13.33,13.7,14.27,17.32,16.91,14.86,13.43,12.83,13.87,12.48850779,14.27149221
湖北省,十堰市,10.4,8.4,8.3,8.2,11.6,10.9,9.4,8.2,8.0,9.3,9.238793734,10.55781643
湖北省,宜昌市,21.3,19.54,19.67,20.83,26.48,25.58,22.97,21.23,20.23,20.22,17.99524017,20.56442085
湖北省,襄阳市,16.0556,13.412841,13.823623,14.844738,20.839598,19.7093,17.1984,13.9619,13.497,15.0843,14.52848407,16.60271593
湖北省,鄂州市,7.214,6.495371,12.140656,1.432084,9.116589,8.5116,7.3231,6.3887,6.3456,7.0401,7.15065075,8.17154925
湖北省,荆门市,11.21,9.74,10.14,11.29,14.76,13.7,11.89,10.59,9.88,10.57,9.653036566,11.03120072
湖北省,孝感市,14.5928,12.379993,13.277399,14.00984,20.074468,17.9643,15.3208,12.7149,12.3981,13.4384,12.67359532,14.48300468
湖北省,荆州市,26.0098,22.4109,23.1042,24.6239,36.3109,32.6316,26.7138,22.8992,21.4963,23.0092,22.56327077,25.78462923
湖北省,黄冈市,15.0993,13.26938,14.255532,15.401674,21.577814,19.2651,15.5017,13.6692,13.2253,14.5016,13.00946897,14.86683103
湖北省,咸宁市,11.3111,8.310102,7.902898,8.706253,13.196447,11.9521,9.951,9.0736,9.6468,10.3017,9.820325968,11.22237403
湖北省,随州市,4.4689,3.795532,3.812238,4.056633,6.072397,5.5161,4.8739,4.0246,3.8181,4.2333,4.178049882,4.774550118
湖北省,恩施土家族苗族自治州,7.7173,4.892233,4.723911,4.440274,7.554982,6.6999,5.2013,4.7885,4.7771,5.4106,5.501663701,6.287136299
湖北省,仙桃市（省直辖县）,3.89,3.38,3.40654,3.808138,5.747562,5.0494,3.8636,3.2901,3.06,3.39,3.240872517,3.703571928
湖北省,潜江市（省直辖县）,4.72,4.11,4.356346,4.018711,5.271911,5.1056,4.7154,4.4193,4.06,4.32,3.971494817,4.538505183
湖北省,天门市（省直辖县）,1.92,1.51,1.600822,1.853143,3.122068,2.5916,1.9773,1.6382,1.5,1.59,1.712736308,1.957263692
湖北省,神农架林区（省直辖县）,0.24,0.17,0.16,0.15,0.24,0.24,0.15,0.14,0.14,0.16,0.2,0.22
湖南省,全省,203.0,158.0,166.0,180.0,248.0,230.0,189.0,157.0,157.0,191.0,162.0,194.0
湖南省,长沙市,44.33,39.37,37.82,33.04,34.44,43.11,58.67,63.46,42.98,36.95,36.1,46.52
湖南省,株洲市,11.73,10.38,10.17,9.62,9.35,11.15,14.62,16.09,11.31,10.16,8.66,12.16
湖南省,湘潭市,13.1,11.83,11.88,11.47,11.48,12.88,14.69,16.1,12.4,11.53,10.91,13.11
湖南省,衡阳市,17.08,16.53,16.01,14.06,13.9,16.32,19.42,20.91,16.03,14.8,13.82,17.39
湖南省,邵阳市,11.61,10.96,9.41,8.52,8.08,10.98,11.22,12.76,9.4,8.24,7.36,11.48
湖南省,岳阳市,15.95,14.66,14.19,12.87,13.11,15.77,19.37,21.79,14.77,13.81,13.17,16.63
湖南省,常德市,12.68,10.88,10.31,9.71,9.95,13.09,16.55,19.09,11.89,10.61,9.87,12.52
湖南省,张家界市,3.06,2.68,2.39,2.21,2.13,2.56,3.51,4.14,2.41,2.21,2.22,3.02
湖南省,益阳市,9.51,8.14,8.13,7.2,7.1,8.74,11.5,12.99,8.19,7.56,7.46,9.37
湖南省,郴州市,13.34,11.07,11.24,10.56,10.57,10.49,13.08,12.91,11.48,10.39,11.23,13.71
湖南省,永州市,10.7,9.81,12.5,10.4,9.17,11.12,12.14,13.32,11.15,10.41,9.43,11.87
湖南省,怀化市,10.26,9.65,10.2,9.55,8.62,10.93,10.4,11.22,8.65,8.28,8.51,10.83
湖南省,娄底市,15.54,13.36,14.58,12.79,13.08,13.92,15.16,16.33,13.29,13.05,12.68,15.18
湖南省,湘西土家族苗族自治州,6.31,4.82,4.96,4.5,4.03,5.54,6.11,6.05,4.63,4.33,4.7,6.23
广东省,全省,617.0,615.0,665.0,784.0,800.0,833.0,720.0,646.0,612.0,619.0,453.0,506.0
广东省,广州市,78.9271,78.8787,93.4404,118.4321,119.6646,127.2628,107.054,90.7622,81.651,83.8455,66.3746,72.4678
广东省,韶关市,15.36,13.53,14.17,15.63,16.9,16.27,13.9,14.22,13.52,13.01,11.48,12.71
广东省,深圳市,86.96561746,87.26194398,89.8333532,107.2449195,109.5069563,113.4576554,100.1363378,88.19389377,83.37802688,83.22931696,58.56763003,66.04434876
广东省,珠海市,16.8,17.94,19.44,22.67,22.49,23.26,20.87,18.66,17.41,17.06,13.16,14.84
广东省,汕头市,19.275876,18.572057,21.567761,25.415882,27.335014,27.591687,23.021214,19.450014,18.965697,19.76413,13.913101,15.40379039
广东省,佛山市,59.04085547,59.7924961,64.61170127,77.2109714,77.25056959,80.81813942,69.75433302,62.70663399,59.37,62.49439701,40.74503193,45.11
广东省,江门市,27.0309,27.7735,28.8054,32.6138,33.4113,34.92,30.9374,28.8558,28.1742,28.4913,19.4392,21.9208
广东省,湛江市,22.74,23.4,25.02802767,27.95197233,27.61570868,28.98547141,26.20881991,23.69664912,22.11737927,23.98359814,20.22991553,22.81245794
广东省,茂名市,12.23,11.77,13.56,14.77,15.16,15.07,13.55,12.29,11.4,11.54213772,10.60600342,11.95996131
广东省,肇庆市,17.1668454,17.22533969,17.73293092,21.16994058,21.61646227,22.39632267,19.76672024,17.40930478,16.45866193,16.42930688,11.56113738,13.03702725
广东省,惠州市,42.35,41.41,43.53,49.95,51.92,54.21,45.39,41.67,39.41,39.5,30.12132292,33.96659819
广东省,梅州市,10.28,8.82,10.11,11.3,12.29,12.67,9.73,9.15,9.19,8.89,8.12,8.99
广东省,汕尾市,5.68,5.52,6.46,7.69,8.016884058,8.153907309,7.515953873,5.85987186,5.530049566,5.369047619,4.565714286,5.148571429
广东省,河源市,9.57,9.057550627,10.04244937,10.97,11.26,11.71,9.62,9.93,10.49,9.36,7.144,8.056
广东省,阳江市,12.37,12.4,13.66,14.32,14.13,14.58,13.51,12.89,12.69,12.96,10.39047619,11.71691996
广东省,清远市,22.09581835,21.1,22.48,24.32,24.96,24.94,22.06,22.56,21.56,23.69,15.64869656,17.6464025
广东省,东莞市,73.3045,76.3308,80.1301,96.7439,98.2946,104.7512,90.6392,82.2603,78.1831,75.0721,50.9939,60.3067
