province,prefecture,2022-12,2022-11,2022-10,2022-9,2022-8,2022-7,2022-6,2022-5,2022-4,2022-3,2022-2,2022-1
贵州省,全省,173.0,143.0,135.0,126.0,145.0,141.0,136.0,141.0,138.0,147.0,147.0,172.0
贵州省,贵阳市,,,,,,,,,,,,
贵州省,六盘水市,15.46,13.09,13.72,13.65,14.7,13.02,15.97,19.54,13.13,13.79,13.16,14.57
贵州省,遵义市,,,,,,,,,,,,
贵州省,安顺市,,,,,,,,,,,,
贵州省,毕节市,,,,,,,,,,,,
贵州省,铜仁市,,,,,,,,,,,,
贵州省,黔西南布依族苗族自治州,16.23,13.55,12.7,12.66,13.4,13.21,14.44,19.84,12.745431,12.65,11.89576678,13.17
贵州省,黔东南苗族侗族自治州,,,,,,,,,,,,
贵州省,黔南布依族苗族自治州,,,,,,,,,,,,
云南省,全省,211.0,190.0,204.0,213.0,224.0,203.0,198.0,197.0,188.0,200.0,135.0,211.0
云南省,昆明市,32.95079631,29.84033064,31.73318326,33.15862688,34.27666027,29.01516215,30.19557268,29.8319391,29.49068298,39.93535814,27.92917154,43.82251606
云南省,曲靖市,30.6,26.65,29.23,30.68,31.13,30.35,28.37,29.52,27.52,35.45283872,24.79427906,38.90368502
云南省,玉溪市,12.88860256,11.67195349,12.41233697,12.96989485,13.40721017,11.34919137,11.81090532,11.66867117,11.53518988,15.62059243,10.92440949,17.14104229
云南省,保山市,9.91430966,8.97842576,9.54795152,9.97684219,10.31323859,8.73014721,9.08531178,8.9759009,8.87322299,12.01584033,8.403391917,13.18541714
云南省,昭通市,18.17,15.25,16.333,16.907,19.98,19.66,17.58,18.14,16.99,17.82,12.45981538,19.55018462
云南省,丽江市,3.29776826,2.98646789,3.1759076,3.31856827,3.43046284,2.90388371,3.02202108,2.98562805,2.9514746,3.99679435,2.795196039,4.385827311
云南省,普洱市,4.13460321,3.7443079,3.98181944,4.16068139,4.30097009,3.64076732,3.78888299,3.74325494,3.70043477,5.01101273,3.504499289,5.498765911
云南省,临沧市,3.22,3.08,3.21,3.37,3.47,3.38,2.94,2.92,2.92,3.26,2.398727905,3.763745443
云南省,楚雄彝族自治州,8.44,7.87,8.25,8.1,8.31,7.99,7.68,7.71,7.2,7.98,5.262627429,8.257372571
云南省,红河哈尼族彝族自治州,20.08067805,18.18511659,19.33864756,20.20733292,20.88867817,17.68224732,18.40160607,18.18000266,17.97203639,24.33716812,17.06091223,26.66557392
云南省,文山壮族苗族自治州,32.77,30.47,33.53,35.4,38.57,37.89,33.48,32.06,27.94,28.17,15.03,22.76
云南省,西双版纳傣族自治州,0.60326054,0.54631438,0.58096858,0.60706548,0.62753435,0.53120726,0.55281812,0.54616075,0.53991306,0.73113334,0.5113250318,0.8022991082
云南省,大理白族自治州,13.91364136,12.60023141,13.39949806,14.00139888,14.47349416,12.25179982,12.75023417,12.59668804,12.4525909,16.86290812,11.79323476,18.50428033
云南省,德宏傣族景颇族自治州,11.34096202,10.27040601,10.92188556,11.41249288,11.79729615,9.9864006,10.39267275,10.26751782,10.15006474,13.74489939,9.61262577,15.08277632
云南省,怒江傈僳族自治州,,,,,,,,,,,,
云南省,迪庆藏族自治州,1.60881519,1.45694741,1.54936551,1.61896247,1.6735502,1.41665874,1.47429202,1.45653769,1.43987594,1.94983485,1.3636355,2.13962446
西藏自治区,全省,13.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0
西藏自治区,拉萨市,,,,,,,,,,,,
西藏自治区,日喀则市,,,,,,,,,,,,
西藏自治区,昌都市,,,,,,,,,,,,
西藏自治区,林芝市,,,,,,,,,,,,
西藏自治区,山南市,,,,,,,,,,,,
西藏自治区,那曲市,,,,,,,,,,,,
西藏自治区,阿里地区,,,,,,,,,,,,
陕西省,全省,231.0,198.0,187.0,176.0,227.0,212.0,204.0,182.0,176.0,197.0,188.0,200.0
陕西省,西安市,58.65642812,49.8948369,47.19176262,44.77799955,58.31322562,54.15792256,52.40787342,46.23873749,44.08875816,50.62838516,47.73359149,50.53827761
陕西省,铜川市,5.397512657,4.591278779,4.342544274,4.12043193,5.365931466,4.983564152,4.822526178,4.254847743,4.057008546,4.658779242,4.392402887,4.650487625
陕西省,宝鸡市,10.47,9.8,8.91,8.35,10.99,9.96,8.72,8.48,8.57,8.523791028,8.690058856,9.62
陕西省,咸阳市,19.55915064,16.63757345,15.73622575,14.93134967,19.4447088,18.05911133,17.47555254,15.41843684,14.70152019,16.88217718,15.9169001,16.85213056
陕西省,渭南市,22.08200777,18.78358794,17.76597898,16.85728514,21.95280453,20.38848435,19.72965462,17.40719974,16.59781087,19.05974213,17.9699578,19.02581992
陕西省,汉中市,12.55541895,10.67999878,10.10140525,9.584738829,12.48195639,11.59251303,11.2179147,9.897410046,9.437206585,10.83701492,10.21738381,10.81772738
陕西省,延安市,13.73,12.29,11.71,9.78,10.42,11.1,10.51,10.5,11.99,9.98,11.01966102,12.2
陕西省,榆林市,45.23482822,38.47803981,36.39347543,34.53202288,44.97015636,41.76565813,40.41605034,35.65851884,34.00049178,39.04373961,36.81132453,38.97425022
陕西省,安康市,7.58093337,6.448558942,6.099205484,5.787243478,7.536576845,6.999532968,6.773351348,5.976033646,5.698163845,6.543364928,6.169233078,6.531719157
